#{"t_start": 1679415267.1031415, "env_id": null}
r,l,t,ruined grasses
1,23,120.005141,14
1,20,120.067198,13
1,23,120.138262,8
1,22,120.206324,4
1,21,120.270383,10
1,18,120.325433,13
1,18,120.381484,10
1,21,120.445542,12
1,19,120.503594,11
1,23,120.573658,16
1,21,120.638717,16
1,20,120.701775,9
1,19,120.761829,17
1,18,120.818881,17
1,22,120.888944,8
1,21,120.956006,11
1,23,121.060101,14
1,22,121.132165,13
1,20,121.199226,11
1,21,121.268289,12
1,20,121.331347,7
1,21,121.398408,14
1,22,121.46747,15
1,25,121.546542,13
1,18,121.602593,3
1,22,121.673658,8
1,21,121.739718,6
1,19,121.799772,11
1,18,121.855824,14
1,20,121.919882,10
1,23,121.99495,8
1,22,122.065013,8
1,18,122.122066,13
1,20,122.185123,12
1,21,122.251183,7
1,23,122.32525,14
1,18,122.382316,8
1,18,122.440381,13
1,22,122.509444,15
1,20,122.572501,13
1,18,122.630554,11
1,18,122.726642,6
1,24,122.807715,8
1,24,122.887788,7
1,22,122.958853,9
1,21,123.024913,5
1,20,123.088971,16
1,22,123.160036,10
1,22,123.2311,8
1,21,123.299162,18
1,26,123.383239,10
1,24,123.460309,12
1,18,123.518361,11
1,20,123.58242,4
1,19,123.644476,12
1,24,123.720545,17
1,24,123.797615,15
1,24,123.874685,9
1,20,123.938743,14
1,21,124.006805,7
1,18,124.067861,4
1,23,124.141928,11
1,23,124.215996,11
1,18,124.278051,9
1,20,124.378142,5
1,18,124.439198,10
1,20,124.507259,12
1,25,124.589335,11
1,23,124.665404,11
1,21,124.733466,14
1,21,124.807533,12
1,22,124.879592,9
1,23,124.953659,14
1,21,125.021721,16
1,20,125.085779,4
1,18,125.143832,4
1,23,125.217899,13
1,18,125.274951,10
1,26,125.359028,20
1,20,125.423086,13
1,18,125.481138,8
1,21,125.548199,4
1,29,125.641284,8
1,18,125.699337,8
1,19,125.760392,11
1,18,125.818445,6
1,18,125.876498,10
1,23,125.950565,15
1,18,126.04465,14
1,18,126.105705,14
1,25,126.197789,7
1,19,126.260847,7
1,18,126.3189,7
1,22,126.389965,17
1,20,126.455024,12
1,18,126.513077,3
1,24,126.590147,7
1,21,126.657207,10
1,19,126.720265,11
1,21,128.427994,10
1,19,128.487048,4
1,20,128.549104,6
1,24,128.623171,8
1,18,128.679222,5
1,23,128.750287,3
1,21,128.815346,10
1,22,128.883408,11
1,20,128.945464,7
1,23,129.016529,16
1,23,129.087593,12
1,20,129.14965,12
1,18,129.2057,14
1,18,129.296783,6
1,18,129.354836,17
1,18,129.41289,10
1,22,129.488959,7
1,19,129.548012,5
1,20,129.609083,9
1,19,129.668136,12
1,19,129.728191,8
1,18,129.785243,10
1,19,129.845297,17
1,18,129.901348,5
1,18,129.9584,3
1,24,130.034469,15
1,19,130.094523,6
1,20,130.158582,8
1,22,130.227644,7
1,21,130.294705,15
1,21,130.360765,13
1,21,130.427826,9
1,18,130.484878,15
1,20,130.548937,17
1,21,130.615998,9
1,18,130.673049,11
1,21,130.740111,9
1,18,130.798163,17
1,26,130.917284,15
1,18,130.981343,8
1,18,131.046402,8
1,34,131.162508,6
1,26,131.245583,11
1,21,131.312644,8
1,18,131.369696,4
1,20,131.433754,8
1,20,131.497812,13
1,19,131.557867,13
1,24,131.634937,16
1,22,131.705001,7
1,19,131.766056,10
1,18,131.823108,8
1,18,131.881161,9
1,22,131.951224,7
1,23,132.025292,5
1,18,132.083344,9
1,20,132.147403,16
1,21,132.214463,14
1,18,132.271515,11
1,22,132.34258,6
1,18,132.400137,15
1,19,132.461193,10
1,26,132.5793,4
1,18,132.642357,7
1,20,132.710419,8
1,22,132.785487,8
1,18,132.84354,10
