#{"t_start": 1679427792.4941602, "env_id": null}
r,l,t,ruined grasses
1,48,395.517278,29
1,43,395.691436,25
1,46,395.961859,22
1,56,396.198074,17
1,51,396.405387,22
1,40,396.568536,27
1,44,396.747702,20
1,103,397.170252,47
1,48,397.367578,27
1,48,397.565758,28
1,49,397.769943,24
1,46,398.040846,28
1,48,398.258044,32
1,46,398.451219,24
1,50,398.661411,28
1,47,398.861793,33
1,50,399.073985,14
1,46,399.270164,17
1,51,399.487571,27
1,43,401.433989,25
1,58,401.668202,14
1,83,402.012665,54
1,50,402.215848,23
1,50,402.401016,30
1,63,402.634347,37
1,46,402.805503,24
1,51,402.994885,24
1,47,403.169044,27
1,42,403.325186,24
1,59,403.545526,30
1,46,403.718683,30
1,50,403.958898,22
1,67,404.220135,42
1,69,404.481633,17
1,42,404.646794,30
1,53,404.863495,22
1,45,405.047662,31
1,51,405.256852,34
1,53,405.473151,37
1,52,405.686345,22
1,43,405.937572,19
1,61,406.197446,36
1,48,406.392624,28
1,46,406.579962,17
1,52,406.791154,22
1,49,406.992364,34
1,46,407.184655,32
1,60,407.44289,18
1,51,407.656272,29
1,45,407.847446,27
1,66,408.212442,32
1,54,408.438649,33
1,53,408.660046,25
1,57,408.894259,38
1,50,409.10059,30
1,44,409.281754,21
1,64,409.544049,28
1,49,409.748347,34
1,69,411.799735,25
1,46,412.010926,22
1,82,412.336386,43
1,72,412.596663,31
1,51,412.794983,31
1,56,413.006175,31
1,58,413.224496,32
1,65,413.466716,30
1,67,413.717154,33
1,50,413.949367,29
1,118,414.407951,16
1,43,414.569098,30
1,61,414.801429,23
1,72,415.091693,21
1,61,415.337113,28
1,69,415.615366,25
1,44,415.793528,22
1,47,416.064774,27
1,141,416.640297,49
1,76,416.948578,37
1,67,417.221826,34
1,47,417.415002,30
1,48,417.614183,17
1,126,418.233746,52
1,58,418.475967,33
1,65,418.748214,33
1,61,419.003448,29
1,48,419.20363,36
1,47,419.404814,30
1,68,419.693079,44
1,84,420.045399,21
1,40,422.003177,25
1,46,422.184342,29
1,58,422.395534,25
1,58,422.607727,38
1,46,422.77688,22
1,53,422.973059,31
1,64,423.209274,32
1,54,423.408455,28
1,49,423.59062,27
1,90,423.976974,40
1,77,424.276247,46
1,54,424.478431,32
1,62,424.711642,22
1,42,424.869786,27
1,49,425.059959,30
1,60,425.30318,20
1,62,425.553407,32
1,66,425.82065,32
1,55,426.128932,29
1,48,426.323108,22
1,58,426.557321,23
1,75,426.858597,40
1,51,427.062783,28
1,60,427.305003,34
1,48,427.501182,34
1,54,427.724384,31
1,66,428.084711,43
1,77,428.417014,29
1,52,428.635212,27
1,77,428.956504,36
1,48,429.157687,20
1,46,429.349862,29
1,60,429.603091,25
1,94,429.998451,35
1,80,432.125401,35
1,53,432.323582,33
1,69,432.57381,30
1,74,432.842053,28
1,52,433.031225,30
1,65,433.26744,26
1,93,433.60875,40
1,56,433.855974,30
1,54,434.076174,32
1,62,434.306384,27
1,61,434.534591,27
1,55,434.739778,22
1,56,434.949969,19
1,56,435.16016,36
1,57,435.390369,31
1,70,435.673626,27
1,72,436.046967,39
1,50,436.24915,29
1,88,436.605478,47
1,86,436.952794,33
1,71,437.241055,29
1,91,437.620403,36
1,156,438.363096,44
1,48,438.566281,22
1,59,438.831522,18
1,60,439.10377,35
1,62,439.385025,33
1,56,439.630248,33
1,44,439.817418,26
1,74,440.132705,40
1,54,440.451995,35
1,123,442.624989,60
1,81,442.916254,45
1,45,443.079402,31
1,117,443.503788,53
1,87,443.862113,53
1,50,444.073305,19
1,89,444.401603,25
1,61,444.627809,15
1,58,444.844005,25
1,62,445.076216,27
1,73,445.349465,33
1,330,446.793953,86
1,64,447.061333,29
1,57,447.298549,36
1,57,447.538912,32
1,92,447.958955,48
1,56,448.35049,36
1,54,448.548671,30
1,103,448.935154,44
1,132,449.4177,72
1,44,449.577846,25
1,70,449.834092,35
1,74,450.207692,29
1,73,450.515117,35
1,45,452.410468,24
1,42,452.573618,26
1,46,452.740769,20
1,46,452.910076,16
1,44,453.072223,23
1,49,453.252387,27
1,51,453.440681,23
1,56,453.647868,33
1,48,453.872221,17
1,63,454.11344,21
1,91,454.486944,41
1,58,454.71315,21
1,65,454.964597,22
1,46,455.136754,24
1,46,455.311913,18
1,45,455.483206,19
1,46,455.665372,31
1,147,456.347123,50
1,54,456.567453,20
1,193,457.353293,64
1,54,457.576592,25
1,42,457.75075,31
1,86,458.194284,37
1,44,458.380453,25
1,66,458.655879,40
1,53,458.881084,14
1,186,459.661129,51
1,48,459.863313,16
1,71,460.255856,25
1,63,460.520247,35
1,159,462.91311,72
1,46,463.081414,19
1,51,463.265581,24
1,40,463.409712,24
1,48,463.589216,22
1,43,463.750363,24
1,42,463.951545,24
1,44,464.131876,29
1,48,464.317045,16
1,71,464.588458,16
1,61,464.819669,17
1,53,465.028063,23
1,58,465.25627,36
1,51,465.458457,22
1,52,465.668791,30
1,56,466.06582,30
1,40,466.221962,19
1,50,466.406131,28
1,74,466.68355,30
1,41,466.834688,26
1,54,467.032085,20
1,53,467.22426,13
1,68,467.473517,31
1,42,467.626836,30
1,50,467.810003,21
1,42,468.01539,29
1,57,468.259613,24
1,48,468.459794,27
1,54,468.682151,27
1,51,468.89034,35
1,65,469.155795,31
1,46,469.351973,16
1,38,469.509125,24
1,56,469.740469,34
1,49,469.942657,19
1,69,470.322208,21
1,61,470.580642,21
1,41,470.767812,26
1,46,472.729355,23
1,69,473.002603,27
1,56,473.212887,27
1,96,473.573349,32
1,111,474.048781,33
1,131,474.552912,44
1,77,474.844313,28
1,288,476.062711,86
1,49,476.266033,23
1,60,476.513258,34
1,52,476.725604,22
1,50,476.934794,34
1,58,477.188682,28
1,61,477.461937,33
1,54,477.690372,16
1,73,478.013666,25
1,69,478.40555,22
1,50,478.606509,18
1,42,478.795146,10
1,42,478.9663,20
1,96,479.374826,25
1,149,479.998595,72
1,55,480.226969,30
1,74,480.61836,19
1,50,480.858224,20
1,53,481.081427,14
1,63,481.347889,33
1,89,483.441561,35
1,83,483.744003,27
1,70,483.997233,27
1,78,484.345715,35
1,93,484.693248,33
1,45,484.863403,22
1,56,485.074595,29
1,38,485.22295,25
1,49,485.412122,21
1,51,485.626848,24
1,55,485.840196,23
1,56,486.096428,20
1,55,486.327786,26
1,50,486.531971,19
1,52,486.751353,27
1,54,486.990574,33
1,52,487.206969,24
1,60,487.456196,34
1,69,487.741587,42
1,54,487.961787,25
1,40,488.124935,14
1,46,488.397313,15
1,57,488.630526,19
1,50,488.860857,18
1,48,489.078062,16
1,44,489.258196,20
1,65,489.525439,33
1,53,489.75686,29
1,91,490.1361,37
1,50,490.337386,21
1,55,490.65067,35
1,56,490.882021,32
1,71,491.172284,39
1,51,491.387927,20
1,90,493.488453,31
1,42,493.651602,12
1,84,493.957017,24
1,56,494.159201,20
1,47,494.393547,19
1,42,494.54969,21
1,76,494.830083,38
1,45,495.003241,22
1,44,495.172395,20
1,46,495.344684,21
1,151,495.924366,69
1,55,496.174592,14
1,62,496.435971,27
1,59,496.673187,28
1,53,496.886537,29
1,74,497.216842,24
1,84,497.573305,37
1,61,497.847203,19
1,52,498.061398,32
1,68,498.432919,21
1,46,498.64311,28
1,45,498.845454,22
1,56,499.076664,19
1,43,499.267837,21
1,46,499.477027,25
1,48,499.68922,29
1,45,499.887613,25
1,52,500.117822,17
1,80,500.466357,44
1,53,500.772636,21
1,57,501.016947,29
1,63,501.292195,19
1,40,501.458498,27
1,43,501.651681,17
1,52,501.884183,21
1,59,502.138413,31
1,49,504.040827,19
1,47,504.212984,26
1,50,504.393365,31
1,88,504.776713,37
1,234,505.651191,78
1,55,505.857534,24
1,89,506.194841,44
1,64,506.495293,30
1,55,506.727505,16
0,480,508.804468,103
1,47,509.000758,17
1,161,509.677599,68
1,102,510.094093,32
1,52,510.304284,15
1,63,510.558691,18
1,52,510.857962,32
1,38,511.015255,25
1,64,511.2845,22
1,40,511.451784,24
1,48,511.649965,27
1,43,511.844141,25
1,53,512.090585,28
1,59,512.335807,35
1,51,514.340413,30
1,54,514.54974,30
1,54,514.802969,28
1,49,514.985282,20
1,64,515.220496,36
1,51,515.407666,26
1,52,515.600032,25
1,49,515.783199,30
1,41,515.939341,25
1,68,516.192722,27
1,72,516.457011,45
1,52,516.704836,29
1,52,516.913025,29
1,46,517.088185,16
1,95,517.452516,23
1,66,517.713968,30
1,64,517.967251,33
