#{"t_start": 1679423017.1523116, "env_id": null}
r,l,t,ruined grasses
1,54,943.992651,36
1,51,944.484205,39
1,39,944.874559,33
1,68,948.886525,41
1,48,949.218827,37
1,50,949.432022,38
1,146,950.022558,41
1,52,950.231748,38
1,49,950.440938,38
1,49,950.644123,37
1,89,951.03748,52
1,44,951.421333,36
1,61,951.819696,42
1,42,952.0786,36
1,49,952.370364,37
1,64,952.75171,37
1,51,953.053985,38
1,50,953.351256,36
1,56,953.681766,43
1,68,954.086134,42
1,142,955.004659,42
1,43,955.261893,34
1,55,955.561165,41
1,78,955.97354,46
1,66,956.384913,47
1,52,956.708207,40
1,84,957.234802,43
1,44,957.568104,36
1,52,957.905412,39
1,53,958.233126,38
1,54,958.57125,38
1,55,958.912601,37
1,50,959.216386,27
1,142,960.069804,51
1,40,960.319031,37
1,46,960.65617,36
1,54,964.517841,42
1,46,964.810106,36
1,45,965.087358,39
1,65,965.488723,43
1,51,965.80501,40
1,48,966.100279,36
1,50,966.408559,39
1,44,966.679677,36
1,50,966.984276,39
1,45,967.266532,35
1,44,967.61785,36
1,52,967.944657,40
1,60,968.318474,36
1,59,968.686809,39
1,65,969.162104,42
1,44,969.527436,34
1,66,970.078937,42
1,43,970.359192,35
1,42,970.622432,37
1,43,970.991766,36
1,137,972.104283,62
1,55,972.512654,41
1,60,972.951052,41
1,76,973.514614,45
1,56,973.929279,39
1,56,974.355932,41
1,53,974.822119,36
1,80,975.420171,41
1,44,975.794607,31
1,46,976.143924,33
1,141,977.213902,57
1,52,977.605258,40
1,62,978.064675,44
1,48,978.422018,38
1,97,983.763833,47
1,63,984.208237,34
1,101,984.860855,48
1,58,985.25021,38
1,69,985.704265,44
1,61,986.114278,40
1,85,986.76137,43
1,57,987.142717,40
1,124,987.961727,44
1,54,988.320412,29
1,65,988.678738,42
1,59,989.003032,37
1,88,989.498483,50
1,179,990.595986,66
1,73,991.044393,34
1,82,991.84412,49
1,48,992.301536,36
1,60,992.794489,43
1,75,993.363006,44
0,480,997.849135,65
1,93,998.74595,45
1,64,1004.334563,34
1,53,1004.86004,35
1,60,1005.44257,37
1,48,1005.900987,33
1,70,1006.539567,38
1,49,1006.898894,36
1,46,1007.2362,37
1,64,1007.823242,40
1,69,1008.466826,40
1,64,1009.056362,39
1,49,1009.513677,36
1,62,1010.111568,37
1,70,1010.788182,39
1,65,1011.384838,39
1,50,1011.83725,36
1,206,1013.756995,75
1,73,1014.43361,44
1,66,1015.051171,36
1,132,1016.250266,53
1,116,1017.294747,47
1,56,1017.806212,34
1,73,1018.480367,45
1,186,1020.221352,62
1,47,1020.649741,37
1,56,1021.152198,39
1,104,1022.149104,50
1,46,1022.563486,33
1,76,1027.211709,44
1,70,1027.512488,45
1,66,1027.777233,43
1,52,1027.983421,37
1,75,1028.289235,39
1,79,1028.658571,39
1,53,1028.883776,37
1,42,1029.05995,30
1,62,1029.305026,47
1,59,1029.535235,40
1,58,1029.767446,37
1,73,1030.056711,47
1,51,1030.258696,39
1,50,1030.465665,40
1,60,1030.767721,44
1,41,1030.94088,32
1,46,1031.132438,34
1,71,1031.43071,44
1,88,1031.802047,47
1,63,1032.066287,42
1,48,1032.271032,35
1,57,1032.54328,37
1,51,1032.784498,37
1,477,1035.054126,146
1,65,1035.42146,38
1,67,1035.705775,42
1,93,1036.120244,52
1,48,1038.193745,36
1,52,1038.406939,38
1,58,1038.635146,35
1,45,1038.814309,37
1,62,1039.063535,38
1,43,1039.238694,35
1,57,1039.528958,38
1,51,1039.728139,34
1,59,1039.958019,41
1,46,1040.138182,37
1,53,1040.353378,35
1,59,1040.589592,34
1,53,1040.808792,35
1,64,1041.08304,40
1,42,1041.281221,32
1,88,1041.778714,36
1,77,1042.103275,46
