#{"t_start": 1679480980.870534, "env_id": "FrozenLake-v1"}
r,l,t
0.0,10,14.2092
0.0,11,14.229218
0.0,32,14.285269
0.0,7,14.297281
0.0,3,14.302284
0.0,4,14.309291
0.0,22,14.348327
0.0,17,14.378354
0.0,7,14.390365
0.0,10,14.407488
0.0,2,14.411492
0.0,13,14.434513
0.0,5,14.442521
0.0,2,14.446524
0.0,6,14.456533
0.0,13,14.479554
0.0,8,14.493567
0.0,7,14.505578
0.0,11,14.524595
0.0,4,14.531602
0.0,6,14.542612
0.0,2,14.546615
0.0,21,14.583649
0.0,3,14.589654
0.0,12,14.610673
0.0,14,14.634696
0.0,13,14.657716
0.0,7,14.669727
0.0,10,14.687743
0.0,7,14.699754
0.0,3,14.704759
0.0,7,14.717771
0.0,8,14.731783
0.0,21,14.767816
0.0,8,14.78283
0.0,15,14.808854
0.0,8,14.822867
0.0,2,14.825869
0.0,8,14.839882
0.0,10,14.857898
0.0,5,14.866907
0.0,16,14.89196
0.0,4,14.899964
0.0,4,14.906874
0.0,6,14.918963
0.0,5,14.927971
0.0,11,14.946988
0.0,4,14.953995
0.0,8,14.968008
0.0,3,14.974013
0.0,3,14.979018
0.0,5,14.988026
0.0,13,15.01055
0.0,33,15.104636
0.0,4,15.111643
0.0,14,15.135665
0.0,10,15.153681
0.0,4,15.160687
0.0,3,15.165692
0.0,3,15.170697
0.0,2,15.1747
0.0,5,15.183708
0.0,18,15.214737
0.0,18,15.246766
0.0,17,15.276793
0.0,6,15.287803
0.0,2,15.291807
0.0,10,15.309823
0.0,7,15.321834
0.0,11,16.866687
0.0,8,16.879699
0.0,13,16.901719
0.0,10,16.917733
0.0,4,16.92474
0.0,3,16.929744
0.0,6,16.939782
0.0,5,16.947784
0.0,2,16.947784
0.0,17,16.978877
0.0,4,16.985883
0.0,5,16.99389
0.0,7,17.005901
0.0,3,17.010906
0.0,11,17.028922
0.0,10,17.045937
0.0,5,17.053945
0.0,2,17.057948
0.0,5,17.065956
0.0,5,17.073963
0.0,17,17.102989
0.0,7,17.115
0.0,11,17.134018
0.0,9,17.149031
0.0,2,17.152034
0.0,5,17.160041
0.0,2,17.164045
0.0,16,17.190069
0.0,7,17.20208
0.0,3,17.207084
0.0,8,17.220096
0.0,4,17.227102
0.0,4,17.233108
0.0,21,17.26814
0.0,5,17.277148
0.0,11,17.295164
0.0,11,17.313181
0.0,2,17.317184
0.0,21,17.351215
0.0,3,17.35622
0.0,17,17.385246
0.0,3,17.390251
0.0,9,17.404263
0.0,11,17.423281
0.0,2,17.426283
0.0,24,17.50049
0.0,6,17.510499
0.0,9,17.525513
0.0,25,17.567551
0.0,17,17.595577
0.0,16,17.622601
0.0,5,17.631609
0.0,4,17.637614
0.0,6,17.648624
0.0,9,17.663638
0.0,3,17.668643
0.0,4,17.675649
0.0,4,17.682655
0.0,2,17.686659
0.0,13,17.708679
0.0,5,17.717687
0.0,2,17.72069
0.0,8,17.734703
0.0,2,17.738706
0.0,3,17.743711
0.0,8,17.756723
0.0,15,17.782746
0.0,15,17.80877
0.0,6,17.818779
0.0,6,17.82979
0.0,5,17.837796
0.0,6,17.848807
0.0,30,17.900854
0.0,2,17.903857
0.0,15,17.92988
0.0,16,17.954949
0.0,4,17.962946
0.0,8,17.97807
0.0,2,17.982073
0.0,8,17.996086
0.0,13,18.018106
0.0,13,18.040126
0.0,7,18.053138
0.0,7,18.065148
0.0,2,18.068151
1.0,7,18.080162
0.0,8,18.094175
0.0,5,18.103183
0.0,6,18.114193
0.0,2,18.117196
0.0,8,18.132209
0.0,15,18.158233
0.0,24,18.199271
0.0,32,18.255321
0.0,19,18.288352
0.0,5,18.296359
0.0,7,18.30837
1.0,8,18.322382
0.0,2,18.326386
0.0,32,18.416468
0.0,3,18.421473
0.0,2,18.424475
0.0,5,18.433483
0.0,6,18.444494
0.0,2,18.447496
0.0,13,18.470517
0.0,6,18.478525
0.0,11,18.499634
0.0,11,18.519653
0.0,11,18.53867
0.0,11,18.557687
0.0,5,18.566695
0.0,8,18.580708
0.0,12,18.601727
0.0,2,18.60473
0.0,4,18.611736
0.0,10,18.629753
0.0,9,18.646768
0.0,6,18.656777
0.0,5,18.665785
0.0,17,18.695812
0.0,3,18.700817
0.0,10,18.717833
0.0,8,18.731845
0.0,3,18.737851
0.0,5,18.745858
0.0,5,18.754866
0.0,13,18.777887
0.0,10,18.794903
0.0,11,18.814921
0.0,12,18.83594
0.0,15,18.861964
0.0,6,18.871973
0.0,11,18.891991
0.0,9,18.907005
0.0,11,18.927023
0.0,5,18.93503
0.0,5,18.944038
0.0,2,18.948042
0.0,12,18.969061
0.0,3,18.973088
0.0,12,18.993113
0.0,2,18.998189
0.0,3,19.003194
0.0,19,19.037225
0.0,7,19.049236
0.0,4,19.056242
0.0,22,19.094277
0.0,5,19.103285
0.0,2,19.107289
0.0,2,19.110292
0.0,17,19.140319
0.0,18,19.173349
0.0,3,19.178353
0.0,6,19.189363
0.0,10,19.206378
0.0,5,19.215387
1.0,27,19.297462
