#{"t_start": 1679418268.8367305, "env_id": null}
r,l,t,ruined grasses
1,20,114.825394,8
1,19,114.886449,7
1,24,114.965521,8
1,25,115.046595,16
1,19,115.108651,15
1,27,115.196731,7
1,24,115.275803,7
1,21,115.343865,11
1,22,115.41493,11
1,22,115.487996,16
1,22,115.559061,15
1,20,115.62412,9
1,22,115.696186,7
1,25,115.77826,17
1,21,115.847323,5
1,19,115.909379,6
1,18,115.969434,7
1,26,116.054511,8
1,21,116.122573,12
1,27,116.246685,10
1,22,116.321754,3
1,20,116.396823,5
1,18,116.453875,10
1,23,116.530945,12
1,20,116.594002,12
1,25,116.676076,14
1,20,116.742136,7
1,20,116.806195,9
1,23,116.881263,5
1,25,116.961336,8
1,23,117.037405,11
1,20,117.101464,3
1,25,117.181536,17
1,28,117.271618,11
1,20,117.334675,2
1,19,117.396731,6
1,25,117.477805,11
1,18,117.535858,7
1,29,117.630944,12
1,25,117.711017,12
1,18,117.771072,7
1,18,117.830125,8
1,23,117.94723,9
1,19,118.01229,13
1,22,118.092364,12
1,29,118.18745,10
1,18,118.246504,9
1,27,118.336586,16
1,20,118.400644,2
1,23,120.12817,7
1,24,120.201237,9
1,19,120.261292,9
1,21,120.32535,5
1,20,120.387406,11
1,21,120.452465,3
1,22,120.520527,5
1,19,120.579581,5
1,18,120.63463,1
1,20,120.696687,6
1,19,120.755741,5
1,18,120.810791,8
1,20,120.873848,3
1,30,120.965931,8
1,23,121.037997,7
1,24,121.113065,11
1,22,121.216159,4
1,24,121.295231,7
1,22,121.368297,10
1,22,121.436359,12
1,22,121.504421,8
1,20,121.565476,5
1,20,121.630536,10
1,20,121.696596,8
1,20,121.759653,8
1,18,121.816705,6
1,19,121.878775,7
1,19,121.937829,7
1,21,122.00489,10
1,22,122.074953,12
1,20,122.139012,12
1,20,122.20307,7
1,24,122.28014,9
1,19,122.341195,6
1,18,122.399248,8
1,23,122.472315,11
1,20,122.535372,13
1,24,122.612442,4
1,18,122.669494,5
1,18,122.727546,4
1,20,122.83064,10
1,18,122.893697,7
1,21,122.966763,8
1,19,123.030822,11
1,25,123.109894,13
1,21,123.179958,9
1,23,123.254025,5
1,28,123.34711,7
1,20,123.41317,15
1,18,123.471222,7
1,26,123.555299,14
1,22,123.628365,10
1,24,123.705435,8
1,25,123.786509,13
1,18,123.844562,11
1,20,123.90862,8
1,21,123.976682,5
1,19,124.037737,9
1,27,124.12682,5
1,23,124.20389,4
1,20,124.267949,10
1,26,124.354027,10
1,20,124.419086,4
1,19,124.519176,6
1,21,124.594244,8
1,18,124.657302,5
1,24,124.737375,12
1,24,124.813444,13
1,23,124.887511,13
1,23,124.963103,10
1,18,125.020154,6
1,18,125.077206,7
1,21,125.14727,9
1,21,125.214331,8
1,22,125.286396,9
1,20,125.351456,12
1,21,125.419518,3
1,19,125.482575,8
1,22,125.553639,9
1,23,125.629709,2
1,23,125.704776,8
1,23,125.779845,7
1,20,125.842902,10
1,32,125.948998,11
1,20,126.015059,6
1,18,126.07211,3
1,20,126.172202,10
1,19,126.240263,7
1,19,126.305322,3
1,20,126.372383,12
1,19,126.43444,4
1,22,126.506505,10
1,21,126.576569,10
1,20,126.64363,9
1,18,126.702683,5
1,20,126.768743,14
1,18,126.827798,7
1,21,128.531424,8
1,19,128.589477,4
1,24,128.662543,8
1,21,128.726601,7
1,25,128.802671,13
1,24,128.875737,5
1,22,128.942798,10
1,20,129.002852,5
1,21,129.066911,6
1,24,129.139977,9
1,21,129.205036,10
1,20,129.267092,6
1,20,129.328148,10
1,22,129.43024,9
1,18,129.497301,8
1,27,129.585382,13
1,22,129.656446,10
1,27,129.741524,7
1,25,129.820596,4
1,21,129.888657,7
1,27,129.974735,12
1,24,130.051805,6
1,21,130.118867,8
1,22,130.18893,11
1,26,130.273006,9
1,19,130.334062,3
1,18,130.391114,5
1,18,130.448166,4
1,25,130.527237,12
1,23,130.601305,3
1,28,130.689385,14
1,20,130.755445,9
1,25,130.835518,9
