#{"t_start": 1679479579.2301593, "env_id": "FrozenLake-v1"}
r,l,t
0.0,6,21.099736
0.0,5,21.106743
0.0,9,21.121756
0.0,14,21.148781
0.0,2,21.152785
0.0,14,21.174805
0.0,5,21.182812
0.0,7,21.193822
0.0,6,21.206834
0.0,7,21.219846
1.0,10,21.23586
0.0,21,21.270892
0.0,2,21.274896
0.0,6,21.286909
0.0,8,21.302928
0.0,18,21.340494
0.0,2,21.344498
0.0,8,21.361741
0.0,4,21.373062
0.0,8,21.39014
0.0,5,21.402156
0.0,4,21.409165
0.0,3,21.416833
0.0,2,22.945541
0.0,4,22.953549
0.0,2,22.956551
0.0,6,22.96656
0.0,3,22.970564
0.0,7,22.982575
0.0,4,22.98858
0.0,2,22.991583
0.0,4,22.997588
0.0,8,23.0106
0.0,8,23.023612
0.0,2,23.026615
0.0,10,23.042629
0.0,10,23.058644
0.0,3,23.063648
0.0,5,23.071656
0.0,6,23.080664
0.0,3,23.085668
1.0,8,23.098681
0.0,3,23.103686
0.0,10,23.119699
0.0,4,23.125705
0.0,6,23.135714
0.0,10,23.150728
0.0,3,23.155732
0.0,2,23.158735
0.0,10,23.17492
0.0,2,23.177922
0.0,5,23.18593
0.0,3,23.190935
0.0,5,23.198942
0.0,11,23.215956
0.0,2,23.21896
0.0,2,23.221962
0.0,7,23.232972
0.0,6,23.241981
0.0,3,23.246985
0.0,3,23.250989
0.0,2,23.253992
0.0,5,23.261999
0.0,7,23.273009
0.0,7,23.284019
0.0,11,23.301034
0.0,3,23.305038
0.0,4,23.312044
0.0,4,23.31805
0.0,7,23.329059
0.0,3,23.333064
0.0,6,23.342071
0.0,7,23.353082
0.0,3,23.358086
0.0,3,23.36209
0.0,6,23.372099
0.0,3,23.376102
0.0,4,23.382108
0.0,6,23.391116
1.0,9,23.405129
0.0,9,23.419142
1.0,6,23.42815
0.0,11,23.480197
0.0,9,23.49421
0.0,4,23.501216
0.0,2,23.504219
0.0,10,23.519233
1.0,7,23.530243
1.0,10,23.546257
0.0,7,23.557267
0.0,14,23.579287
0.0,2,23.583291
0.0,6,23.592299
0.0,4,23.598305
0.0,3,23.603309
0.0,6,23.613318
0.0,2,23.616321
0.0,3,23.621325
0.0,5,23.629333
0.0,5,23.636339
0.0,12,23.655356
0.0,3,23.660361
0.0,2,23.663363
0.0,5,23.671371
0.0,2,23.674373
0.0,3,23.679379
0.0,6,23.689387
0.0,3,23.693391
0.0,8,23.706403
0.0,2,23.709406
1.0,9,23.724419
0.0,16,23.749442
0.0,2,23.752445
0.0,7,23.763454
0.0,9,23.778468
0.0,19,23.808496
0.0,8,23.821507
0.0,9,23.83552
1.0,14,23.85754
0.0,7,23.869551
0.0,5,23.877558
0.0,2,23.880561
0.0,4,23.886566
0.0,12,23.906585
0.0,4,23.912593
0.0,3,23.917595
0.0,6,23.926603
0.0,5,23.935611
0.0,12,23.954628
